date,phase,shape,decision,simTicks,firstWaveStartTick,lastWaveEndTick,MMOP,ldsBankConflict,coissueSuccess,coissueFailed,metadata,evidence,next
2026-07-02,fragment_sidecar,H1/S128,FRAGMENT_SIDECAR_PASS,10138765,3613610,10138765,512/CU00,0,45,12,"private=0 sgpr=88 vgpr=84 sgpr_spill=0 vgpr_spill=0","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_fragment_sidecar_correctness_20260702_012111","connect P/dS fragments to dV/dK MMAC"
2026-07-02,score_dp_probe_regression,H1/S1024,REGRESSION_PASS,27633970,3613610,27633970,4096/active-CU,0,123/CU00,9/CU00,"private=0 sgpr=88 vgpr=84 sgpr_spill=0 vgpr_spill=0","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_score_dp_probe_20260702_012136","use as post-fragment smoke only"
2026-07-02,scalar_sidecar_regression,H1/S128,REGRESSION_PASS,1298109540,3613610,1298109540,512/CU00,0,21,1,"private=0 sgpr=88 vgpr=84 sgpr_spill=0 vgpr_spill=0","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_sidecar_correctness_20260702_012150","keep as scalar oracle"
2026-07-02,full_dkv_mmac_coarse_packet,H1/S1024/causal,BASELINE_PASS,86904090,3613610,86904090,full-dkv,0,36070,20048,"private=0 sgpr=76 vgpr=84 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=18.7606%","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_022300","xcu flat-read/VALU/barrier diagnosis"
2026-07-02,full_dkv_mmac_causal_false_diag,H1/S1024/noncausal,OBSERVE_DIAG,91372645,3613610,91372645,full-dkv,0,37545,22674,"private=0 sgpr=76 vgpr=84 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=15.7263% pass=0_rel_l2_only","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_022345","do not prioritize causal mask first"
2026-07-02,full_dkv_split_source_ownership,H1/S1024/causal,REJECT,90525890,3613610,90525890,full-dkv,0,31084,16965,"private=0 sgpr=78 vgpr=84 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=18.1123%","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_023309","reverted to coarse packet"
2026-07-02,full_dkv_mmac12_single_producer,H1/S1024/causal,ACCEPT_CANDIDATE,82365010,3613610,82365010,full-dkv,0,23301,12740,"private=0 sgpr=82 vgpr=112 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=20.2578% xcu_mmac_latency=22.67% top_bubble=abarrier_to_salu32_38.85%","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_024903; perf=/Volumes/172.20.68.76/共享/shaobo/perf/20260702_025324_clean_w12_dkv_mmac12_h1s1024_sqc7","use W12 as next evidence baseline, still far from 60%"
2026-07-02,full_dkv_mmac12_pair_packet,H1/S1024/causal,REJECT,90676040,3613610,90676040,full-dkv,0,13272,4944,"private=0 sgpr=78 vgpr=112 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=18.1646%","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_030656","reverted: pair packet reduced overlap despite higher coissue rate"
2026-07-02,full_dkv_mmac12_sidecar_addr,H1/S1024/causal,ACCEPT_MICRO,79578135,3613610,79578135,full-dkv,0,26904,15648,"private=0 sgpr=84 vgpr=112 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=20.3523% xcu_mmac_latency=23.33% top_bubble=abarrier_to_salu32_38.33% residual_pmd_read_vgpr_warning","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_031634; perf=/Volumes/172.20.68.76/共享/shaobo/perf/20260702_031634_clean_w12_sidecar_addr_h1s1024_sqc7","keep micro-win; next attack abarrier/control and lds_matrix/immed gaps"
2026-07-02,full_dkv_mmac12_late_source,H1/S1024/causal,REJECT_PERF,84778785,3613610,84778785,full-dkv,0,20519,12669,"private=0 sgpr=86 vgpr=112 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=19.1939%","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_033608","reverted: raw/source phase split passed correctness but added ownership latency and lowered active share"
